Country,SPY,IJH,IJR,EFA,IEMG,RSP,QQQ,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU,KWEB,MCHI,EIMI,AGG,IEF,SHY,SHV,TLT,BNDX,TIP,GLD,MOAT,DIA,URTH,ACWI,AOK,AOM,AOR,IVV,IDEV,DXJ,HYG,CEMB,HYLD,LQD,MBB,DFAT,DFUV,DFAC,QUAL,DFSV,DFIV,SLV,IEUR,IWM,SMMD,USMV,DFAX,IUSB,FALN,DFCF,MINT,CORP,BND,IAGG,BOND,GOVT,AGGU,EMB,USHY,IUAA,BBIN,JREG,BOTZ,XAIX,AIQ,CHAT,BLOK,CLOU,QTUM,CIBR,ARKF,ARKW,ESPO,SMH,SNSR,ICLN,PHO,TAN,FAN,DRIV,GRID,LIT,ESGU,ESGD,ESGE,IBB,ARKG,IDNA,XHE,IHF,IHI,SBIO,HEAL,HTEC,EWT,EWH,IQLT,DIHP,SPHQ,XMHQ,JQUA,DUHP,IWD,SPYV,COWZ,MOTI,DFEV,INDA,EWJ,HYS,HYDB,CSPX,XDEW,M1WO Index,M1WD Index,SPXT Index,SPTGCUT Index,SPTGMUT Index,SPTGGUT Index,KURE,CHIQ,KGRN,CXSE,KBA,KSTR,QWLD,QUS,IDRV,IGPT,SKYY,HACK,FINX,SOXX,XBI,IXJ,IHE,PPH,Core E100,Core Growth,Core Balanced,Core Defensive,Thematic Disruptive Tech,Thematic Healthcare Innovation,Thematic ESG & Clean Energy,Thematic China Growth,REIT 100,REIT RM,Income Preserve,Income Enhance,Cash SGD flexi,Cash USD flexi,SRS Income Preserve,SRS Income Enhance,SRS Cash SGD flexi,SRS E100,Downside protected,AAXJ,ARKK,ARKQ,ARKX,BIL,BITO,CATH,CCOR,CNYA,CQQQ,CWI,DBMF,DLN,EEM,EIDO,EMQQ,EWA,EWM,EWY,EWZ,FDIS,FXI,GDX,HLAL,IEFA,IEI,IGF,IGSB,IGV,ILF,IPO,IWDA,IWP,IWS,JEPI,KMLM,KRBN,LEMB,METV,MNA,MOO,MTUM,NULV,OIH,PBW,PFFD,PFIX,PSQ,QAI,RAAX,REMX,SDG,SDY,SH,SHYG,SLYV,SMOG,SPDW,SPYX,SUSL,THD,UCAP,VBK,VGT,VIG,VNQ,VNQI,VOO,VOTE,VTI,VTIP,VTV,VUG,VWRA,VXUS,XLC,XME,XOP,XT,DFAE,QQEW,IBIT,ARKB,FBTC,JEPQ,ACWD
United States,1,1,1,0,0,1,0.97379,1,1,1,1,1,1,1,1,1,0,0,0.002220204,0.940061496,1,1,1,1,0.030844277,1,0,1,1,0.706114762,0.634223004,0.739461524,0.720525196,0.683666227,0.9986,0.080232127,0,0.854608417,0.019273765,0.433541018,0.855392405,1,1,1,1,1,1,0.04360436,0,0.00040012,0.988094047,1,1,0.031015508,0.863328275,0.8422,0.788470212,0.708829709,0.762035238,0.938489647,0.03270536,0.936239677,1,0.397189421,0.00380038,0.851785179,0.900372885,0.00520156,0.704790721,0.438143814,0.873287329,0.726272627,0.7242,0.740832923,0.897086926,0.5932,0.736366586,0.723915686,0.913158799,0.344667685,0.792020798,0.7074,0.3395868,0.993339199,0.543587265,0.163663842,0.5406,0.581383723,0.176147021,1,0.0003184,0,0.898018331,0.91023074,0.815218478,1,1,1,0.853085309,0.720727927,0.848,0,0,0.000177399,0.000700841,1,1,1,0.98897022,1,1,1,0.0298,0.000100513,0,0,0.839657283,0.830235619,1,1,0.706114762,0.634223004,1,0.739461524,0.720525196,0.683666227,0.019951875,0,0,0.004340921,0,0,0.657431486,1,0.31017593,0.8766,0.9249,0.9038,0.808219178,0.865773155,0.9714,0.708070807,1,0.610261026,0.770509609,0.730721411,0.69041833,0.659842895,0.706168831,0.890995261,0.440717949,0.007106396,0,0,0.466193228,0.482648286,0,0,0.466193228,0.482648286,0,0.760110804,1,0.000698254,0.919511463,0.9093,0.8748,1,0,0.983294988,0.9079,0,0,0.062913907,0,1,0.00039992,0,0.035522511,0,0,0,0,0.970779546,0,0.175417542,0.994990482,0,1,0.425493536,0.734580944,0.993002099,0.0079992,0.720692762,0.741774177,1,1,0.9478,0,0,0.00129922,0.6491,0.824682468,0.548719518,1,0.996897828,0.947147147,0.780121988,0.963288987,1,1,0.737553842,0.893550025,0.252825283,0.283950617,1,1,0.827100925,1,0.389255043,0.01530153,0.993280513,1,0,0.963370697,0.985823559,0.97641129,0.984280532,1,0,1,0.991677529,1,1,0.992813654,1,0.643628726,0.006611901,1,0.995797058,0.98875502,0.618710692,0.000805477,0.9104,0,0,0,0.9775,0.661515304
Australia,0,0,0,0.073929572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002175174,0,0,0,0,0.051756529,0,0,0,0,0.01852537,0.016673736,0.009979137,0.011295573,0.013858011,0,0.067426553,0,0.00704326,0.001965299,0.001736918,0.007189873,0,0,0,0,0,0,0.067106711,0,0,0,0,0,0.045822911,0.005159332,0.0036,0.017635982,0.002600003,0.017425983,0.002131547,0.029600326,0.001536393,0,0.015614326,0,0.0060006,0.001434172,0.072521757,0.016238023,0,0,0,0,0,0,0,0,0,0,0.040042904,0,0,0,0,0,0,0.0212,0,0.148420376,0,0.070352328,0,0.0002858,0,0,0,0,0,0,0.00939906,0,0,0,0.059134558,0.064277133,0,0,0,0,0,0,0,0.0295,0.000301538,0,0,0.006025798,0.004525097,0,0,0.01852537,0.016673736,0,0.009979137,0.011295573,0.013858011,0,0,0,0,0,0,0.012602521,0,0.035485806,0.0022,0.0236,0,0.01649835,0,0,0.01550155,0,0,0.008040778,0.007512343,0.006840654,0.006443768,0.006087662,0.002117576,0.01425641,0.00010009,0,0,0.009801961,0.00880088,0,0,0.009801961,0.00880088,0,0.009232765,0,0,0,0,0,0,0,0,0,0,0,0.047060004,0,0,0,0,0,1,0,0,0,0,0,0.109610961,0,0.077531164,0,0.084076561,0.01559513,0,0,0,0.01730173,0,0,0,0,0,0,0,0,0.029588817,0,0,0,0,0,0,0,0.024541721,0.004570848,0.197919792,0.013650507,0,0,0.005729795,0,0,0.063306331,0,0,0,0,0,0,0,0,0.117558779,0,0,0,0,0,0,0.016903381,0.047786015,0,0,0,0.016509434,0.000201369,0.0098,0,0,0,0.0013,0.015654792
Austria,0,0,0,0.0020008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192386,0,0,0,0,0.015445387,0,0,0,0,0.000463446,0.000439695,0.001233331,0.001171536,0.001051245,0,0.003101623,0,0,0,0.001275204,0,0,0,0,0,0,0,0.00330033,0,0.0050015,0,0,0,0.003901951,0.000404654,0,0.000302,0,0,0.000406009,0.01273014,0,0,0.006148141,0,0.00080008,0.000382446,0.00280084,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112,0.0131082,0,0,0,0,0.00069986,0,0,0.002629601,0,0,0,0,0,0,0,0,0,0,0,0,0.00236119,0.002102523,0,0,0,0,0,0,0,0,0,0,0,0.003012899,0,0,0,0.000463446,0.000439695,0,0.001233331,0.001171536,0.001051245,0,0,0,0,0,0,0.00060012,0,0,0,0,0,0,0,0,0,0,0,0.000175248,0.000692139,0.00122631,0.001598974,0.00101461,0,0.001538462,0,0,0,0.00020004,0.00130013,0,0,0.00020004,0.00130013,0,0.00028516,0,0,0,0,0,0,0,0,0,0,0,0.001605459,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003243134,0,0,0,0,0,0,0.00050005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000200341,0,0,0.002509284,0,0,0.001206273,0,0.006990214,0.00260026,0,0,0,0,0,0,0,0,0.0018009,0,0,0,0,0,0,0.0005001,0.001903426,0,0,0,0.004716981,0,0,0,0,0,0,0.000200702
Belgium,0,0,0,0.010204082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168122,0,0,0,0,0.022387357,0,0,0,0,0.00203944,0.001891402,0.002512161,0.002471906,0.002393538,0,0.007603528,0,0.000919408,0,0.003241731,0,0,0,0,0,0,0,0.00710071,0,0.015704711,0,0,0,0.008504252,0.001618614,0,0.000403,0,0.006005994,0.002030045,0.017077188,0,0,0.015223968,0,0,0,0.008502551,0.001412002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00629874,0,0,0.008657203,0,0.021695593,0,0,0,0,0,0.01160116,0.02139786,0,0,0,0.002243691,0.007509011,0,0,0,0,0,0,0,0.0181,0.000301538,0,0,0,0,0,0,0.00203944,0.001891402,0,0.002512161,0.002471906,0.002393538,0,0,0,0,0,0,0.00220044,0,0,0,0,0,0,0,0,0.0030003,0,0,0.001147094,0.001911869,0.002686345,0.003239186,0,0.003831804,0.001948718,0,0,0,0.00380076,0.00340034,0,0,0.00380076,0.00340034,0,0.00099258,0,0,0,0,0,0,0,0,0,0,0,0.005117399,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010438837,0,0,0.000704296,0,0,0,0.00230023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001001703,0,0,0.002509284,0,0,0,0,0,0.00730073,0,0,0,0,0,0,0,0,0.014607304,0,0,0,0,0,0,0.00170034,0.005309557,0,0,0,0.010023585,0.000100685,0,0,0,0,0,0.00160562
Denmark,0,0,0,0.037414966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008289583,0,0,0,0,0.009629795,0.008619258,0.003404431,0.00426389,0.005936844,0,0.030912213,0,0,0,0,0,0,0,0,0,0,0,0.03020302,0,0.054516355,0,0,0,0.021210605,0.00030349,0,0.001410999,0,0.001673998,0,0.006417071,0,0,0.003220455,0,0.00020002,0,0.037111133,0.00927887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1092818,0,0,0.172905663,0,0.0079984,0,0,0.038235315,0,0.023660793,0,0.03379662,0,0,0,0,0.0239976,0,0,0,0.041705029,0.025030036,0,0,0,0,0,0,0,0.0141,0,0,0,0,0,0,0,0.009629795,0.008619258,0,0.003404431,0.00426389,0.005936844,0,0,0,0,0,0,0.010002,0,0,0,0,0,0,0,0,0.04910491,0,0.076807681,0.00340611,0.002743878,0.002005036,0.001518782,0,0.009680347,0.033948718,0,0,0,0.015703141,0.00090009,0,0,0.015703141,0.00090009,0,0.003743943,0,0,0,0,0,0,0,0,0,0,0,0.018061409,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027566636,0,0.002004209,0.001811047,0,0,0,0.00640064,0,0,0,0,0,0,0,0,0.003673095,0,0,0,0,0,0,0,0.001903236,0.000101574,0,0.077185587,0,0,0,0,0.070401438,0.02240224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00570114,0.016429573,0,0,0,0.006485849,0,0,0,0,0,0,0.005920723
European Union,0,0,0,0.00160064,9.98E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100918,1.04E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003277,0,0,0,0,0,0,0,0.003046201,0.000111547,0,0,0,0,0,0,0,0,0,0,0,0.001019896,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039984,0,0,0,0,0,0,0,0,0,0.000164939,0.000125203,8.15E-05,5.24E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.998E-05,0,0,0,0,0,0,0,0,0,0,0.000810783,0,0,0,0,0,0,0.00020002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0.010004002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65E-05,0,0,0,0,0.007889985,0,0,0,0,0.0025349,0.002279393,0.001566432,0.001727521,0.002041079,0,0.00900381,0,0,0,0.003789882,0,0,0,0,0,0,0,0.00880088,0,0.016504951,0,0,0,0.009204602,0.000404654,0,0.002922997,0.001400001,0.001574998,0,0.007141079,0.002112541,0,0.004001171,0,0.00020002,0.000191223,0.010403121,0.002924861,0.02070207,0.00370037,0.00240024,0,0,0,0.0155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015171806,0,0,0,0,0,0,0,0,0,0,0,0,0.009154462,0.007408891,0,0,0,0,0,0,0,0,0,0,0,0.000941531,0,0,0,0.0025349,0.002279393,0,0.001566432,0.001727521,0.002041079,0,0,0,0,0,0,0.00470094,0,0.00269892,0,0,0,0,0,0,0,0,0,0.000989634,0.00107278,0.001144185,0.001201969,0.002536526,0,0.002153846,0,0,0,0.00040008,0.0010001,0,0,0.00040008,0.0010001,0,0.001402525,0,0,0,0,0,0,0,0,0,0,0,0.00602047,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010134793,0,0,0.001207365,0,0,0.02452698,0.00240024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00330562,0.001422042,0,0,0,0,0,0,0,0.00830083,0,0,0,0,0,0,0,0,0.002301151,0,0,0,0,0,0,0.0020004,0.006111,0,0,0,0,0,0,0,0,0,0,0.001806322
France,0,0,0,0.111944778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00064345,0,0,0,0,0.122101361,0,0,0,0,0.027498716,0.02457301,0.017341162,0.018437637,0.020571875,0,0.084133911,0,0.010446347,0,0.084376523,0.004759494,0,0,0,0,0,0,0.093909391,0,0.174752426,0,0,0,0.052626313,0.006069803,0,0.01965098,0.016298016,0.015259985,0.000507511,0.100084101,0.005185327,0,0.049770665,0,0.01150115,0.000764891,0.103931179,0.030660615,0,0,0,0,0,0,0.0259,0.036918445,0,0,0.018426231,0,0.013,0.00459,0,0.024678951,0.035733968,0.022,0.016996601,0.005263606,0,0.115129746,0,0.0002166,0,0.00479952,0,0,0,0,0.01759824,0,0,0,0.082553462,0.093912695,0,0,0,0,0,0,0,0.0107,0,0,0,0.012239902,0,0,0,0.027498716,0.02457301,0,0.017341162,0.018437637,0.020571875,0,0,0,0,0,0,0.021904381,0,0.078168733,0.0085,0,0,0,0,0,0.02550255,0,0.04250425,0.011112768,0.012743744,0.014268786,0.015422621,0.010551948,0.006352728,0.034051282,0,0,0,0.028605722,0.021602159,0,0,0.028605722,0.021602159,0,0.012151007,0,0,0,0,0.0438,0,0,0,0,0,0,0.058498896,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100537144,0,0.053512376,0.023744844,0,0,0,0.02540254,0,0,0,0,0,0,0,0.02520252,0,0,0,0,0,0,0,0,0.013322649,0,0.03370337,0.014654221,0,0,0.011861681,0,0.009486719,0.077707771,0,0,0,0,0,0,0,0,0.028414207,0,0,0,0,0,0,0.021504301,0.053496293,0,0,0,0.02446934,0,0,0,0,0,0,0.021876568
Germany,0,0,0,0.086834734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005045918,0.002316508,0,0,0,0,0.108677686,0,0,0,0,0.021337873,0.019199683,0.012532287,0.013588768,0.015645188,0,0.071928458,0,0.005347573,0,0.057579946,0,0,0,0,0,0,0,0.070707071,0,0.127438231,0,0,0,0.050325163,0.007081437,0.0121,0.021565978,0.024398024,0.014275986,0.004263094,0.089940989,0.004033032,0,0.041768322,0,0.00230023,0.001912229,0.079923977,0.02228946,0,0.03520352,0.03320332,0,0,0,0.0108,0,0,0,0,0,0,0.0211039,0,0.055732344,0.107555177,0.0344,0.017396521,0,0,0.078728031,0,0.022139693,0,0.03669633,0,0,0,0,0.01649835,0.016,0,0,0.058092662,0.072587105,0,0,0,0,0,0,0,0.1349,0,0,0,0.004425195,0.004495797,0,0,0.021337873,0.019199683,0,0.012532287,0.013588768,0.015645188,0,0,0,0,0,0,0.022204441,0,0.069172331,0.002,0.0115,0,0.00349965,0,0,0.01130113,0,0,0.009564035,0.011336436,0.013029466,0.014286938,0,0.009781184,0.031282051,0,0,0,0.00720144,0.00630063,0,0,0.00720144,0.00630063,0,0.009768399,0,0,0,0,0,0,0,0,0,0,0,0.055990367,0,0,0,0,0.007744734,0,0,0,0,0,0,0,0,0.084929563,0,0.01803788,0,0,0,0,0.02170217,0,0,0,0,0,0,0,0.01370137,0.066829915,0,0,0,0,0,0,0,0.006110388,0.001015744,0,0.020174646,0,0,0.001708886,0,0.004493709,0.067406741,0,0,0,0,0,0,0,0,0.042521261,0,0,0,0,0,0,0.018703741,0.051693047,0,0,0,0.024371069,0,0,0,0,0,0,0.018866031
Hong Kong,0,0,0,0.017106843,0.002595328,0,0,0,0,0,0,0,0,0,0,0,0.004438286,0.013984617,0.002623877,8.07E-05,0,0,0,0,0.000515688,0,0,0,0,0.004801902,0.005678196,0.004453517,0.004667158,0.005082986,0,0.013905795,0,0.004131346,0.04062089,0.000526903,0,0,0,0,0,0,0,0.00920092,0,0,0,0,0,0.010705353,0.002326758,0,0,0,0.002657997,0.000101502,0.000207002,9.60E-05,0,0.001951791,0.00220022,0,9.56E-05,0.018305492,0.004639435,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000025,0,0,0.008300474,0,0.00069986,0,0,0.018383507,1.66E-05,0,0,0,0,0,0,0,0.0019998,0,0,1,0.026372192,0.014517421,0,0,0,0,0,0,0,0.0849,0.023620464,0,0,0.000470765,0,0,0,0.004801902,0.005678196,0,0.004453517,0.004667158,0.005082986,0.028574293,0,0.009423559,0.012387507,0,0,0.00860172,0,0.00129948,0,0,0,0.00129987,0,0,0,0,0,0.002195322,0.001686673,0.001124102,0.000751185,0,0.000705859,0.007076923,0.020918827,0,0,0.039407882,0.059505948,0,0,0.039407882,0.059505948,0,0.003766332,0,0.046583541,0,0,0,0,0,0,0,0,0,0.011438892,0,0,9.998E-05,0,0.007847997,0,0,0,0,0,0.00180054,0,0,0.019661498,0,0.003807997,0.002012275,0,0,0,0.00470047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001803065,0,0,0.047877145,0,0,0.006835545,0,0.013481126,0.01580158,0,0,0,0,0,0,0,0,0.097848924,0,0,0,0,0,0,0.00580116,0.016329393,0,0,0,0,0.015404752,0,0,0,0,0,0.005820371
Ireland,0,0,0,0.0030012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003128469,0.001054938,0,0,0,0,0.006554611,0,0,0,0,0.009041769,0.009270963,0.004645354,0.005285737,0.006532317,0,0.003901784,0,0.00252267,0,0.01452431,0.006683544,0,0,0,0,0,0,0.00350035,0,0.00550165,0.00030015,0,0,0.003601801,0.001517451,0,0.004332996,0.007799008,0.013586986,0.001319529,0.004864054,0.004321106,0,0.035327413,0,0.01010101,0.04799694,0.007302191,0.01633888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003845002,0,0,0,0,0,0,0,0.00740074,0,0,0,0,0.001189395,0.011113336,0,0,0,0.003710017,0,0,0,0.0195,0,0,0,0.012239902,0,0,0,0.009041769,0.009270963,0,0.004645354,0.005285737,0.006532317,0,0,0,0,0,0,0.01210242,0,0,0,0,0,0,0,0.0125,0.01570157,0,0.00490049,0.003049383,0.007464975,0.012189244,0.015352309,0,0.016436422,0.007179487,0.017916125,0,0,0.030706142,0.044904489,0,0,0.030706142,0.044904489,0,0.009147902,0,0,0,0,0,0,0,0.008702611,0.0265,0,0,0.001906482,0,0,0,0,0.067947129,0,0,0,0,0.002701891,0,0,0,0.002736394,0,0,0.010363216,0,0,0,0.00140014,0,0,0.0282,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012921967,0.006196039,0,0,0,0,0.013268999,0,0.02536449,0.00680068,0.004613379,0,0,0.026421137,0,0.014415323,0.011789601,0,0.0006003,0,0.004411912,0,0,0.005090328,0,0.00760152,0.007012623,0,0,0,0,0.006544503,0.0099,0,0,0,0.0006,0.007526342
Israel,0,0,0,0.007402961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000613129,0,0,0,0,0.003312211,0,0,0,0,0.001888455,0.001761983,0.001619498,0.00178064,0.002094296,0,0.008503709,0,0.012685651,0.035566866,0.028017948,0,0,0,0,0,0,0,0.00590059,0,0,0.0014007,0,0,0.006603302,0.001315124,0,0,0,0,0.000507511,0.002380026,0,0,0.001659022,0,0,0.000573669,0.00460138,0,0.00420042,0.00050005,0.00260026,0.0219,0,0.052074423,0.0149,0.037691904,0.036408283,0,0,0,0,0.0051136,0,0.052299937,0.005972785,0,0,0,0,0.005743602,0,0,0,0,0,0,0,0,0,0,0,0,0.007681269,0.006207449,0,0,0,0,0,0,0,0.0205,0,0,0,0.000282459,0,0,0,0.001888455,0.001761983,0,0.001619498,0.00178064,0.002094296,0,0,0,0,0,0,0.0035007,0,0,0.0032,0.0118,0.0699,0.00349965,0,0,0,0,0.03650365,0.000936375,0.000876084,0.000799316,0.000753641,0.018364448,0,0.004205128,0,0,0,0.010902181,0.0030003,0,0,0.010902181,0.0030003,0,0.001261473,0,0,0,0.0135,0.0153,0,0,0,0,0,0,0.005518764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012769839,0,0,0,0,0,0.02462709,0.00210021,0,0,0,0,0,0,0,0,0.010305071,0,0,0,0.00989901,0,0,0,0.001402384,0.000203149,0,0,0,0,0.003920386,0,0,0.01010101,0,0,0,0.007305845,0,0,0,0,0.023911956,0,0,0,0,0,0,0.00190038,0.005610098,0,0,0,0.005110063,0,0,0,0,0,0,0.00160562
Italy,0,0,0,0.027310924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000376052,0,0,0,0,0.078264753,0,0,0,0,0.006098998,0.005470573,0.006141436,0.006159348,0.006194186,0,0.022408504,0,0.006079078,0,0.108862464,0,0,0,0,0,0,0,0.01790179,0,0.044413324,0,0,0,0.018509255,0.001922104,0.0594,0.006953993,0.006499006,0.008761991,0.000406009,0.062202684,0.000480123,0,0.029472041,0,0.00750075,0.000382446,0.026107832,0.004538578,0,0,0.0030003,0,0,0,0.0144,0,0,0,0,0,0,0.0078074,0,0,0.066985892,0,0.050489902,0,0,0.02506831,0,0.0010467,0,0,0,0,0,0,0.00449955,0.018,0,0,0.022335808,0.019523428,0,0,0,0,0,0,0,0.0082,0,0,0,0.004331042,0.009803593,0,0,0.006098998,0.005470573,0,0.006141436,0.006159348,0.006194186,0,0,0,0,0,0,0.0080016,0,0,0,0,0,0.01759824,0,0,0,0,0,0.002803963,0.004940106,0.007115467,0.008652225,0,0.000705859,0.018358974,0,0,0,0.010402081,0.01310131,0,0,0.010402081,0.01310131,0,0.0037378,0,0,0,0,0,0,0,0,0,0,0,0.014549468,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028478768,0,0.024150717,0.001006137,0,0,0,0.00610061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001602725,0,0,0.000802971,0,0,0.003518295,0,0.067705213,0.02170217,0,0,0,0,0,0,0,0,0.0002001,0,0,0,0,0,0,0.00580116,0.016930475,0,0,0,0.009040881,0,0,0,0,0,0,0.00491721
Japan,0,0,0,0.227490996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005652911,0,0,0,0,0.145971377,0,0,0,0,0.056391742,0.050689715,0.02960459,0.034243113,0.043272031,0,0.22248872,1,0.00172103,0,0.009235635,0.024,0,0,0,0,0,0,0.223322332,0,0,0,0,0,0.162781391,0.006272129,0,0.034061966,0.045095045,0.023923976,0.006394641,0.11271124,0.004417131,0,0.100224456,0,0.00460046,0.00535424,0.245273582,0.056076652,0.330233023,0.00820082,0.03070307,0.0471,0.085550422,0,0.1417,0.03249763,0.01768435,0,0.231572799,0,0.0649,0.0376743,0,0.016959698,0.040864365,0.117,0.014697061,0.098685854,0,0.230886792,0,0,0,0.04659534,0,0,0,0,0.0489951,0.0094,0,0,0.129695568,0.233880657,0,0,0,0,0,0,0,0.061,0,0,1,0.00640241,0,0,0,0.056391742,0.050689715,0,0.02960459,0.034243113,0.043272031,0,0,0,0,0,0,0.071314263,0,0.06397441,0.0434,0,0.0263,0.00079992,0,0,0.04270427,0,0.0460046,0.02352176,0.026464572,0.0291649,0.031237483,0.081980519,0.013310477,0.058871795,0,0,0,0.034406882,0.00910091,0,0,0.034406882,0.00910091,0,0.027403885,0,0,0,0.0236,0.0325,0,0,0,0,0,0,0.143086494,0,0,0,0,0.00764147,0,0,0,0,0,0,0,0,0.244653897,0,0.014630725,0.032397626,0,0,0,0.052005201,0,0,0,0,0,0,0.0502,0,0.057034996,0,0,0,0,0,0,0,0.021937293,0.000812595,0,0.123657533,0,0,0.005830318,0,0.006291192,0.224322432,0,0,0,0,0.001121877,0,0,0,0.214907454,0,0,0,0,0,0,0.055111022,0.157984372,0,0,0,0.046285377,0,0,0,0,0,0,0.046663322
Netherlands,0,0,0,0.049119648,0,0,0.00583,0,0,0,0,0,0,0,0,0,0,0,0,0.001158364,0,0,0,0,0.029681125,0,0,0,0,0.014041306,0.012693763,0.009549786,0.010009178,0.010903356,0,0.037815601,0,0.006698792,0,0.017688869,0.012962025,0,0,0,0,0,0,0.076107611,0,0.072421727,0.00090045,0,0,0.029914957,0.002933738,0,0.011891988,0.024098024,0.006595993,0.001015022,0.022252245,0.00230459,0,0.017566117,0,0.00820082,0.002199063,0.048814644,0.020373172,0,0,0.00650065,0.0055,0,0,0.0299,0,0.041127441,0.010840312,0,0.04679532,0,0,0,0,0,0.0086,0.0014997,0.004969922,0,0.052266221,0,0,0,0.00249975,0,0,0,0.01690169,0.01819818,0.0227,0,0,0.065576931,0.040248298,0,0,0,0.0041111,0,0,0,0.0502,0,0,0,0.004707655,0,0,0,0.014041306,0.012693763,0,0.009549786,0.010009178,0.010903356,0,0,0,0,0,0,0.015703141,0,0.003898441,0,0,0,0.04129587,0.066213243,0,0.0090009,0,0,0.005261838,0.004967008,0.004582338,0.004359694,0.009943182,0.011192901,0.013641026,0,0,0,0.019703941,0.024302429,0,0,0.019703941,0.024302429,0,0.005830845,0,0,0,0,0,0,0,0.00110033,0.0174,0,0,0.025888019,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04256613,0,0,0.017808633,0,0,0,0.01070107,0,0,0.0199,0,0,0,0.0147,0,0.005815733,0,0,0,0,0,0,0,0.005609536,0.000101574,0.02740274,0.00873231,0,0,0.014676317,0,0,0.03660366,0,0,0,0,0,0,0,0,0.009204602,0,0,0,0,0,0,0.01070214,0.027048688,0,0,0,0.024665881,0.000503423,0.0201,0,0,0,0.013,0.010938284
